douban_id,title,directors,scriptwriters,actors,types,release_region,release_date,alias,languages,duration,score,description,tags
1308295,"再见阿郎 再見阿郎",杜琪峰,韦家辉,"刘青云,黃卓玲,黎耀祥,林雪,黄浩然,罗永昌","剧情,动作,惊悚",香港,1999-05-06,"Where a Good Man Goes",粤语,88分钟,7.8,"张东郎（刘青云饰）从狱中出来，女人已卷走一切钱财。昔日手下已经另投他主，威风八面不复存在。年轻的寡妇小雪（黄卓菱饰）打理丈夫留下来的国际饭店，她有一个刚上小学的儿子。

　　那残旧的小旅店“国际饭店”便成了张东郎的窝，暂时休喘。但他拿不着钱，因而交不出房租，只好在店里打打零工，对母子二人的感情愈来愈深，但他们的表达是含蓄而温馨的。

　　后来，脾气火爆的张东郎得罪了警察肥九（林雪饰），对方开始刁难小雪的国际饭店甚至是恐吓小孩子。东郎愤怒出手，但小雪面对各种压力只得让他离开。

　　没有家的东郎能走向何方？结下梁子的肥九又会轻易放过他们吗？","杜琪峰,刘青云,银河映像,香港,香港电影,1999,剧情,爱情"
1308294,"真爱告白 Joshua's Heart","David Kelley (Michael Pressman)","Susan Cuscuna","Matthew Lawrence,Tim Matheson,Melissa Gilbert",NULL,美国,1990-09-10,,英语,0,,Ten-year-oldJoshua'sfatherhasanewgirl-friendeveryfewmonthsbutwhenhisfather'sloveforClaudiadiesafterafewmonthsJoshua'sloveforherdoesn't...,"剧情,嘟嘟娘,国外电影,爱情"
1308293,"等着你回来 So This Is Romance?","Kevin W. Smith","Kevin W. Smith","里斯·丁斯代尔,维多莉亚·斯莫费特,Clara Bellar,约翰·汉纳,弗兰克·芬莱","喜剧,爱情",英国,1998-10-11,,英语,"USA: 95 分钟(edited version)",,"Thestoryofabrokebuttalentedcomposer,Mike,andhissearchfortruelove.Thequestionis,howtofindit,especiallywhenyourinsecuritiestendstomakeyoujealousevenwhenagirlfriendstrokesyourcat.Mike'salcoholicwriterfatherwhobelievesallhisillswillbecuredbyfindinghisrunawaywife,tellshimthereisonlyonethingthatmakeslifeworthliving:""t...",英剧
1308292,弟切草,下山天,"Goro Nakajima","奥菜惠,齐藤阳一郎",恐怖,日本,2001-01-27,Otogiriso,日语,"85 分钟",5.9,"就读于艺术学校的奈美（奥菜惠饰）自幼由母亲养大，她的父亲名叫阶泽苍一，是一名伟大的画家，据说早年死于车祸。奈美20岁时母亲病故，于是她便成为一所古旧别墅的继承人。奈美直觉感到这幢别墅和童年时代的一个梦有关，于是约上好友公平（齐藤阳一郎饰）一同前往。抵达目的地后，他们从神秘的管理员手里接过钥匙，随即进入别墅。这里阴森诡异、破败不堪，墙上挂满阶泽的名作。奈美和公平逐个房间查看，终于在最后一个房间发现一张照片，继而得知奈美还有一个名叫“直美”姐妹。不久后，他们又在书房的暗间找到了阶泽一幅失传的作品。古老疏离的别墅，究竟还隐藏着多少秘密……

　　本片根据1992年长坂秀佳的同名原著改编。","恐怖,日本,日本电影,弟切草,惊悚,奥菜惠,恐怖电影,恐怖片"
1308291,"杀手的肖像2 Henry: Portrait of a Serial Killer, Part 2","查克 帕莱罗 (Chuck Parello)","查克 帕莱罗 (Chuck Parello)",NULL,"惊悚,恐怖,犯罪",美国,1998-06-18,"连续杀人犯的一生 2,亨利.波特莱特：连环杀手 2",英语,"84 分钟",,,"美国,美国电影,犯罪,连环杀手,恐怖电影,罪,我的标签,John"
1308290,"98古惑仔之龙争虎斗 98古惑仔之龍爭虎鬥",刘伟强,文隽,"郑伊健,舒淇,郑浩南,钱嘉乐,秦沛,林晓峰,朱永棠,万梓良,吴君如,黄秋生,李修贤,尹扬明,李兆基",动作,香港,1998-01-22(香港),"Young and Dangerous 5","粤语,英语,马来语","114 分钟",7.2,1998年，香港回归后发生了天翻地覆的变化。而此时的铜锣湾亦发生了天翻地覆的变化，这个洪兴设陈浩南（郑伊健饰）揸Fit的地盘来了两个新人物，一个是东升社的司徒浩南（郑浩南饰），一个是湾仔区的新任高级督察李Sir(李修贤饰)。司徒浩南野心勃勃，一直意欲取代陈浩南在铜锣湾的位置，将其赶出铜锣湾。马来西亚一拿督（秦沛饰）要搞赌船，主动找到陈浩南要求合作，其实暗中勾结司徒浩南，整蛊陈浩南。另一方面，李Sir在追查陈浩南的过程中，生出了少许英雄识英雄的感情。一山不能容二虎，两个浩南最终的决斗开始了！,"古惑仔,香港,黑帮,香港电影,郑伊健,刘伟强,动作,舒淇"
1308289,太太,秦大庆,,NULL,短片,香港,2002-05-25,"Tai Tai",粤语,0,,,"何超仪,短片,香港,秦大庆,NicholasChin,香港电影,陈子聪,何超儀"
1308288,我爱你,张元,王朔,"徐静蕾,佟大为,王学兵,杜澎,潘星谊",爱情,中国大陆,2003-01(圣丹斯电影节),"I Love You",汉语普通话,"97 分钟",7.1,"本片改编自王朔小说《过把瘾就死》。

　　杜小桔（徐静蕾）和王毅（佟大为）结婚后，相识、恋爱中被遮蔽在阴影里的问题全曝光在了阳光下。杜小桔认为爱情高于一切，婚姻更是爱情的立方级，“神经兮兮”地整日要王毅说“我爱你”，王毅认为爱情同请客吃饭没本质区别，结了婚爱情有或没有是一回事，最烦的事是张嘴对杜小桔说出“我爱你”。于是，杜小桔的吃醋和找茬成了一剂剂调节两人平淡婚姻生活的佐料，而她的反目和出走，则是不想让日子越流越成死水。","徐静蕾,爱情,张元,佟大为,中国电影,我爱你,大陆,中国"
1308287,"爱 Love",李长秀,宋智娜,"郑雨盛,高素荣,Andrew Kwon,Jang Soo Lee,李凡秀","剧情,爱情",韩国,1999-09-18,,韩语,0,6.8,Myung-soo是一名运动员他最擅长的就是长跑，而他亦是韩国最佳的马拉松选手之一。可是，他在一次亚运会比赛的中途突然放弃，更突然间对自己失去了信心。纵是如此，他仍然入选参予在洛杉矶举行的国际长跑比赛。Myung-soo到了美国，却完美没有参与训练营的任何训练活动，只是探访他的远房亲戚Brad。在Brad的家里Myung-soo碰见了早年移居美国的韩国女子Jenny。Jenny看似不懂得如何去爱其他人自从Myung-soo的出现，两人便开始产生了互动的效果……,"郑宇成,韩国,爱情,韩国电影,郑雨盛,电影,剧情,1999"
1308286,"飞狗巴迪3：飞狗家族 Air Bud: World Pup","Bill Bannerman","Aaron Mendelsohn","凯文·席格斯,戴尔·米德基夫,David Glyn-Jones","剧情,喜剧,家庭,运动","美国,加拿大",2001-06-29(西班牙),"Air Bud 3,神犬巴迪3：神犬家族,神犬也疯狂3",英语,"83 分钟",7.7,乔许的母亲和她的男友派屈克要结婚了，巴迪却突然出现在婚礼上大闹会场。不但将桌巾扯下，还将会场搞得人仰马翻。乔许责怪巴迪，但大家却未发觉这只黄金猎犬不是巴迪，而是另一只走失的黄金猎犬茉莉。其实巴迪和茉莉生了小狗，但是歹徒绑架了这些小狗。另一方面，乔许参加的足球队，因为队上成员之一是巴迪的缘故，所以被裁判取消资格，球队教练发誓要有所行动，最后还是如愿以偿打入州冠军决赛，但是他们有足够的时间找到这些被绑架的小狗，并打赢决赛吗？,"狗狗,动物,美国,喜剧,美国电影,神犬也疯狂,狗,电影"
